Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z,0.331121919
53.13,0,9.960128,10,-0.590011,10,5.087688,5,10.045427,10,30.336106,5,9.942515,10,4.997187,5,0.180155,0.272649,0.176287,0.019659,-0.253312,-0.041252,0.198223466
55.84,0,5.014372,5,-0.60219,10,9.983508,10,10.013728,10,30.42512,5,10.024031,10,5.066864,5,0.183377,0.277806,0.179188,0.020304,-0.258147,-0.046731,0.352399145
114.92,0,9.979738,10,-0.59813,5,5.044362,5,10.048597,10,30.815791,5,10.044992,10,10.044547,10,0.159529,0.245578,0.240421,0.016436,-0.328726,-0.046086,0.741087663
60.85,0,9.958728,10,-0.590011,10,5.137203,5,4.859461,5,30.457264,10,9.963476,10,4.863409,5,0.177899,0.271038,0.174998,0.019981,-0.253957,-0.036095,0.677903714
10.26,0,4.921928,5,-0.568359,5,5.072214,5,5.030636,5,31.307839,5,5.030644,5,4.986039,5,0.196269,0.304877,0.156951,0.024171,-0.225919,-0.045764,0.364673269
93.95,0,5.004567,5,-0.588658,5,10.01755,10,5.135243,5,30.855352,10,5.079553,5,10.036186,10,0.17242,0.262336,0.216572,0.018048,-0.295209,-0.03964,0.291198714
116.43,0,9.657584,10,-0.600837,10,5.066025,5,9.674548,10,30.766339,5,9.874974,10,9.907982,10,0.160495,0.246544,0.240743,0.017725,-0.33066,-0.047697,0.327096223
4.22,0,1.99034,2,-0.51829,2,1.974418,2,2.035077,2,31.075414,2,1.984309,2,2.012252,2,0.195946,0.302944,0.129879,0.02256,-0.186278,-0.05092,0.92426853
54.8,0,9.993745,10,-0.599484,5,10.045402,10,9.9535,10,30.276764,5,10.014715,10,4.969317,5,0.180799,0.272971,0.172742,0.018048,-0.253635,-0.03674,0.560153115
29.06,0,10.023159,10,-0.580538,10,4.988657,5,5.078184,5,30.865243,10,4.984064,5,5.01391,5,0.194979,0.291019,0.118599,0.021593,-0.175965,-0.019015,0.079352278
38.39,0,9.228979,10,-0.603543,5,9.949467,10,9.991539,10,30.941894,10,5.01667,5,4.835538,5,0.194657,0.289085,0.119888,0.023849,-0.174354,-0.019015,0.647695298
40.24,0,4.997564,5,-0.59813,10,10.02374,10,9.978859,10,30.912222,10,5.072566,5,4.868983,5,0.19788,0.292631,0.1215,0.023204,-0.176287,-0.030294,0.628781335
128.04,0,4.997564,5,-0.585951,10,9.955656,10,4.970408,5,31.023489,10,10.084585,10,10.119798,10,0.165652,0.254279,0.243644,0.018048,-0.331304,-0.048342,0.499192259
27.72,0,4.994762,5,-0.594071,10,5.022699,5,4.986257,5,31.018544,10,5.002696,5,4.863409,5,0.200781,0.29682,0.125367,0.024493,-0.182733,-0.029005,0.279657723
89.37,0,6.309987,5,-0.587305,5,5.852079,5,6.257389,5,31.302893,10,5.256557,5,10.273086,10,0.170164,0.256857,0.212383,0.018048,-0.290375,-0.036095,0.692028891
136.421,0,9.709408,10,-0.60219,10,9.80711,10,9.677718,10,30.632818,10,9.93087,10,9.949787,10,0.159851,0.245578,0.233976,0.018048,-0.33066,-0.043186,0.143367419
77.39,0,5.567634,5,-0.592718,5,9.49145,10,5.087694,5,30.771284,5,4.981735,5,10.008316,10,0.172742,0.262336,0.216572,0.01837,-0.298109,-0.039318,0.365112888
56.26,1,4.975153,10,-0.596777,10,10.014455,10,9.997878,10,30.484462,5,9.97978,10,5.075225,5,0.184022,0.279095,0.17951,0.019659,-0.257824,-0.046731,0.216562712
109.28,0,9.981139,5,-0.59813,5,5.400252,10,4.948218,5,30.860298,5,9.991425,10,9.986019,10,0.162107,0.247834,0.234298,0.017081,-0.321958,-0.043186,0.105712284
27.01,0,10.031563,10,-0.595424,5,5.047456,5,4.945049,5,30.892441,10,5.000367,5,5.04178,5,0.197558,0.291341,0.118599,0.022882,-0.17661,-0.019015,0.688000443
13.55,0,5.046587,5,-0.614369,5,9.875194,10,5.021126,5,31.095195,5,4.963103,5,4.983252,5,0.204326,0.311967,0.139547,0.025138,-0.207226,-0.015469,0.750237824
5.81,0,1.99034,2,-0.512877,2,2.06107,2,2.047757,2,31.149592,2,2.019244,2,2.059632,2,0.196269,0.30391,0.128268,0.021593,-0.185633,-0.051565,0.428790019
97.81,0,4.987759,5,-0.585951,5,5.031983,5,9.994708,10,30.927058,10,5.023657,5,10.019464,10,0.169519,0.258147,0.217217,0.017725,-0.29682,-0.046086,0.956069619
101.22,0,10.014755,10,-0.590011,10,5.06293,5,9.94716,10,30.877606,10,5.005025,5,9.921917,10,0.165974,0.251701,0.213027,0.01837,-0.28973,-0.035451,0.959894554
71.64,0,5.018574,5,-0.595424,10,9.955656,10,10.096145,10,30.669907,10,10.040334,10,5.06129,5,0.181121,0.274583,0.179832,0.019659,-0.260402,-0.048664,0.681118717
41.17,0,9.995145,10,-0.59813,10,9.995887,10,10.026408,10,30.724305,10,5.030644,5,5.030632,5,0.194657,0.287474,0.115054,0.022882,-0.170809,-0.018692,0.325556433
20.19,0,4.993362,5,-0.613016,10,4.982468,5,9.985199,10,31.055633,5,4.972419,5,5.011123,5,0.198847,0.295531,0.12859,0.02256,-0.187889,-0.033517,0.64875257
139.381,0,9.999347,10,-0.603543,10,10.048497,10,9.985199,10,30.788592,10,10.056637,10,9.963723,10,0.158562,0.244611,0.239132,0.016436,-0.327759,-0.041252,0.30783668
113.99,0,4.98916,5,-0.599484,5,5.050551,5,9.972519,10,30.867715,5,9.940186,10,9.921917,10,0.164363,0.252023,0.244289,0.017725,-0.332916,-0.056721,0.349238931
6.79,0,1.995942,2,-0.51017,2,2.005365,2,2.016058,2,31.310311,2,1.995954,2,2.020613,2,0.195946,0.303588,0.127945,0.02127,-0.184989,-0.051565,0.820046264
14.52,0,9.883092,10,-0.61031,5,9.893762,10,5.008447,5,31.016072,5,5.021328,5,4.988826,5,0.20207,0.3081,0.134069,0.023526,-0.201425,-0.005801,0.595997066
63.52,0,5.054991,5,-0.591364,10,10.163001,10,5.262039,5,30.679798,10,10.063624,10,5.06129,5,0.182411,0.277806,0.179188,0.018692,-0.257824,-0.043186,0.887580097
68.21,0,4.951342,5,-0.596777,10,4.948426,5,10.001048,10,30.669907,10,10.007728,10,5.069651,5,0.178221,0.27136,0.182411,0.018048,-0.263303,-0.052209,0.651643224
89.48,0,5.220269,5,-0.587305,5,5.112445,5,5.198641,5,31.325147,10,5.005025,5,10.264725,10,0.173064,0.261047,0.215606,0.019659,-0.292953,-0.041896,0.974434502
63.04,0,10.002149,10,-0.583245,5,9.974224,10,4.992597,5,30.462209,10,9.986767,10,5.030632,5,0.179188,0.272649,0.173709,0.019981,-0.252345,-0.033195,0.2188185
118.87,0,10.028761,10,-0.603543,5,9.915425,10,10.035917,10,30.758921,5,10.040334,10,10.038973,10,0.16114,0.248478,0.239454,0.017725,-0.32647,-0.039963,0.612750387
8.91,0,1.988939,2,-0.508817,2,2.033218,2,2.044587,2,31.025962,2,2.02856,2,2.034549,2,0.198202,0.307455,0.127945,0.021915,-0.185311,-0.051243,0.162128306
22.15,0,4.991961,5,-0.607603,5,10.057781,10,10.029577,10,30.85288,5,5.028315,5,5.036206,5,0.200781,0.299398,0.126012,0.024171,-0.184344,-0.02965,0.615678662
94.34,0,8.471217,10,-0.596777,5,10.125865,10,4.748514,5,30.751503,10,4.942142,5,9.947,10,0.170808,0.259436,0.214961,0.017725,-0.294886,-0.033195,0.453895136
56.19,0,5.001766,5,-0.584598,10,9.977319,10,9.978859,10,30.464681,5,9.975122,10,5.04178,5,0.183055,0.278773,0.179188,0.019981,-0.25718,-0.046086,0.996497596
106.38,0,8.953047,10,-0.594071,5,4.778217,5,4.89433,5,30.842989,5,9.989096,10,9.87175,10,0.163718,0.250734,0.233331,0.016759,-0.318735,-0.046086,0.082158257
60.54,0,9.937718,10,-0.591364,10,4.796786,5,4.859461,5,30.543805,10,9.83771,10,4.899641,5,0.178221,0.270071,0.175321,0.019337,-0.256213,-0.037707,0.119689002
63.82,0,4.900918,5,-0.587305,10,9.906141,10,4.976748,5,30.613038,10,10.021702,10,5.080799,5,0.183055,0.277806,0.177899,0.018048,-0.257824,-0.044152,0.39134879
80.06,0,5.003166,5,-0.590011,10,9.955656,10,4.967238,5,30.885024,5,5.012012,5,9.977658,10,0.174354,0.263948,0.217217,0.019015,-0.298754,-0.040607,0.874187465
79.51,0,5.078802,5,-0.588658,10,10.159907,10,5.094034,5,30.996291,5,4.981735,5,10.050122,10,0.174031,0.264592,0.217539,0.019015,-0.298432,-0.039963,0.416965737
62.75,0,9.981139,10,-0.590011,5,10.048497,10,5.014786,5,30.48199,10,9.982109,10,5.019484,5,0.179832,0.272005,0.173387,0.019337,-0.252668,-0.033195,0.924452322
64.77,0,9.995145,10,-0.596777,10,9.968035,10,5.005277,5,30.514133,10,9.972793,10,5.002762,5,0.178865,0.271682,0.172742,0.017403,-0.252668,-0.03255,0.571603172
128.76,0,9.989543,10,-0.595424,10,10.060876,10,5.002107,5,30.857825,10,9.842368,10,9.938639,10,0.161462,0.2488,0.236554,0.016436,-0.325181,-0.038996,0.821533836
127.39,0,5.322518,5,-0.596777,10,10.150622,10,5.372986,5,31.107558,10,10.117191,10,10.097502,10,0.165007,0.253635,0.240743,0.017725,-0.328726,-0.045764,0.639572709
120.57,0,9.957327,10,-0.60219,10,9.933993,10,9.985199,10,30.771284,5,9.879632,10,9.907982,10,0.160173,0.247511,0.239132,0.016759,-0.327437,-0.041896,0.353350408
74.02,0,4.982156,5,-0.583245,5,4.973184,5,4.989427,5,30.956729,5,4.981735,5,9.972084,10,0.173064,0.263303,0.218506,0.017725,-0.298432,-0.048342,0.041275614
68.52,0,9.92231,10,-0.604897,10,4.997941,5,9.918631,10,30.50177,10,9.956489,10,4.916363,5,0.17532,0.266204,0.177899,0.01837,-0.255891,-0.041574,0.163092816
52.83,0,10.062377,10,-0.600837,10,5.090782,5,10.045427,10,30.388031,5,10.012386,10,4.82439,5,0.17951,0.272649,0.175321,0.019981,-0.25299,-0.03964,0.13187996
45.96,0,4.997564,5,-0.592718,5,10.051592,10,5.144752,5,30.719359,5,10.021702,10,5.058503,5,0.185956,0.283929,0.177899,0.020304,-0.258147,-0.044797,0.672180132
123.4,0,5.381346,5,-0.594071,10,4.926763,5,5.303248,5,31.184209,10,10.089243,10,10.186687,10,0.163396,0.251701,0.240743,0.016759,-0.32937,-0.051887,0.123323864
118.27,0,5.000365,10,-0.60219,5,10.082539,10,10.020068,10,30.850407,5,10.033347,10,10.044547,10,0.16533,0.253635,0.243322,0.016759,-0.331949,-0.052209,0.158918957
72.21,0,5.018574,5,-0.595424,10,9.946372,10,10.023238,10,30.726777,10,9.996083,10,5.04178,5,0.180799,0.272971,0.181122,0.019015,-0.26008,-0.047375,0.203966167
